Page URN, Line URN
urn:cite2:hmt:e4.v1:8r,urn:cts:greekLit:tlg0012.tlg001.e4:1.74
urn:cite2:hmt:e4.v1:8r,urn:cts:greekLit:tlg0012.tlg001.e4:1.106
urn:cite2:hmt:e4.v1:8v,urn:cts:greekLit:tlg0012.tlg001.e4:1.140
urn:cite2:hmt:e4.v1:9v,urn:cts:greekLit:tlg0012.tlg001.e4:1.193
urn:cite2:hmt:e4.v1:9v,urn:cts:greekLit:tlg0012.tlg001.e4:1.202
urn:cite2:hmt:e4.v1:10v,urn:cts:greekLit:tlg0012.tlg001.e4:1.275
urn:cite2:hmt:e4.v1:11r,urn:cts:greekLit:tlg0012.tlg001.e4:1.318
urn:cite2:hmt:e4.v1:11v,urn:cts:greekLit:tlg0012.tlg001.e4:1.352
urn:cite2:hmt:e4.v1:11v,urn:cts:greekLit:tlg0012.tlg001.e4:1.376
urn:cite2:hmt:e4.v1:12v,urn:cts:greekLit:tlg0012.tlg001.e4:1.432
urn:cite2:hmt:e4.v1:12v,urn:cts:greekLit:tlg0012.tlg001.e4:1.442
urn:cite2:hmt:e4.v1:13r,urn:cts:greekLit:tlg0012.tlg001.e4:1.475
urn:cite2:hmt:e4.v1:13r,urn:cts:greekLit:tlg0012.tlg001.e4:1.503
urn:cite2:hmt:e4.v1:13v,urn:cts:greekLit:tlg0012.tlg001.e4:1.517
urn:cite2:hmt:e4.v1:13v,urn:cts:greekLit:tlg0012.tlg001.e4:1.528
urn:cite2:hmt:e4.v1:13v,urn:cts:greekLit:tlg0012.tlg001.e4:1.536
urn:cite2:hmt:e4.v1:14v,urn:cts:greekLit:tlg0012.tlg001.e4:1.601
urn:cite2:hmt:e4.v1:14v,urn:cts:greekLit:tlg0012.tlg001.e4:1.605
urn:cite2:hmt:e4.v1:14v,urn:cts:greekLit:tlg0012.tlg001.e4:1.609
urn:cite2:hmt:e4.v1:15v,urn:cts:greekLit:tlg0012.tlg001.e4:2.48
urn:cite2:hmt:e4.v1:16r,urn:cts:greekLit:tlg0012.tlg001.e4:2.109
urn:cite2:hmt:e4.v1:16v,urn:cts:greekLit:tlg0012.tlg001.e4:2.147
urn:cite2:hmt:e4.v1:16v,urn:cts:greekLit:tlg0012.tlg001.e4:2.149
urn:cite2:hmt:e4.v1:18r,urn:cts:greekLit:tlg0012.tlg001.e4:2.272
urn:cite2:hmt:e4.v1:18v,urn:cts:greekLit:tlg0012.tlg001.e4:2.284
urn:cite2:hmt:e4.v1:19r,urn:cts:greekLit:tlg0012.tlg001.e4:2.321
urn:cite2:hmt:e4.v1:19r,urn:cts:greekLit:tlg0012.tlg001.e4:2.323
urn:cite2:hmt:e4.v1:19v,urn:cts:greekLit:tlg0012.tlg001.e4:2.362
urn:cite2:hmt:e4.v1:20r,urn:cts:greekLit:tlg0012.tlg001.e4:2.402
urn:cite2:hmt:e4.v1:20v,urn:cts:greekLit:tlg0012.tlg001.e4:2.434
urn:cite2:hmt:e4.v1:21r,urn:cts:greekLit:tlg0012.tlg001.e4:2.476
urn:cite2:hmt:e4.v1:21r,urn:cts:greekLit:tlg0012.tlg001.e4:2.484
urn:cite2:hmt:e4.v1:22v,urn:cts:greekLit:tlg0012.tlg001.e4:2.545
urn:cite2:hmt:e4.v1:22v,urn:cts:greekLit:tlg0012.tlg001.e4:2.556
urn:cite2:hmt:e4.v1:22v,urn:cts:greekLit:tlg0012.tlg001.e4:2.557
urn:cite2:hmt:e4.v1:22v,urn:cts:greekLit:tlg0012.tlg001.e4:2.568
urn:cite2:hmt:e4.v1:23r,urn:cts:greekLit:tlg0012.tlg001.e4:2.586
urn:cite2:hmt:e4.v1:23r,urn:cts:greekLit:tlg0012.tlg001.e4:2.601
urn:cite2:hmt:e4.v1:23v,urn:cts:greekLit:tlg0012.tlg001.e4:2.618
urn:cite2:hmt:e4.v1:23v,urn:cts:greekLit:tlg0012.tlg001.e4:2.627
urn:cite2:hmt:e4.v1:23v,urn:cts:greekLit:tlg0012.tlg001.e4:2.630
urn:cite2:hmt:e4.v1:23v,urn:cts:greekLit:tlg0012.tlg001.e4:2.637
urn:cite2:hmt:e4.v1:23v,urn:cts:greekLit:tlg0012.tlg001.e4:2.644
urn:cite2:hmt:e4.v1:24r,urn:cts:greekLit:tlg0012.tlg001.e4:2.652
urn:cite2:hmt:e4.v1:24r,urn:cts:greekLit:tlg0012.tlg001.e4:2.681
urn:cite2:hmt:e4.v1:24v,urn:cts:greekLit:tlg0012.tlg001.e4:2.710
urn:cite2:hmt:e4.v1:25r,urn:cts:greekLit:tlg0012.tlg001.e4:2.737
urn:cite2:hmt:e4.v1:25r,urn:cts:greekLit:tlg0012.tlg001.e4:2.747
urn:cite2:hmt:e4.v1:25r,urn:cts:greekLit:tlg0012.tlg001.e4:2.748
urn:cite2:hmt:e4.v1:25r,urn:cts:greekLit:tlg0012.tlg001.e4:2.760
urn:cite2:hmt:e4.v1:25v,urn:cts:greekLit:tlg0012.tlg001.e4:2.784
urn:cite2:hmt:e4.v1:25v,urn:cts:greekLit:tlg0012.tlg001.e4:2.796
urn:cite2:hmt:e4.v1:26r,urn:cts:greekLit:tlg0012.tlg001.e4:2.842
urn:cite2:hmt:e4.v1:27r,urn:cts:greekLit:tlg0012.tlg001.e4:3.13
urn:cite2:hmt:e4.v1:27r,urn:cts:greekLit:tlg0012.tlg001.e4:3.14
urn:cite2:hmt:e4.v1:27r,urn:cts:greekLit:tlg0012.tlg001.e4:3.27
urn:cite2:hmt:e4.v1:28v,urn:cts:greekLit:tlg0012.tlg001.e4:3.139
urn:cite2:hmt:e4.v1:29r,urn:cts:greekLit:tlg0012.tlg001.e4:3.173
urn:cite2:hmt:e4.v1:29r,urn:cts:greekLit:tlg0012.tlg001.e4:3.178
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
