“Observation”,”TextUrn”,”Image”,”Comments”
"urn:cite2:opO112.2017a:85v1","urn:cts:greekLit:tlg0012.tlg001:10.38@","",""
"urn:cite2:opO112.2017a:85v2","urn:cts:greekLit:tlg0012.tlg001:10.38@","",""
"urn:cite2:opO112.2017a:85v2","urn:cts:greekLit:tlg0012.tlg001:10.38@","",""
"urn:cite2:opO112.2017a:85v2","urn:cts:greekLit:tlg0012.tlg001:10.38@","",""
"urn:cite2:opO112.2017a:85v2","urn:cts:greekLit:tlg0012.tlg001:10.38@","",""
"urn:cite2:opO112.2017a:85v2","urn:cts:greekLit:tlg0012.tlg001:10.38@","",""
"urn:cite2:opO112.2017a:85v2","urn:cts:greekLit:tlg0012.tlg001:10.38@","",""
"urn:cite2:opO112.2017a:85v2","urn:cts:greekLit:tlg0012.tlg001:10.38@","",""
"urn:cite2:opO112.2017a:85v2","urn:cts:greekLit:tlg0012.tlg001:10.38@","",""
"urn:cite2:opO112.2017a:85v2","urn:cts:greekLit:tlg0012.tlg001:10.38@","",""
"urn:cite2:opO112.2017a:85v2","urn:cts:greekLit:tlg0012.tlg001:10.38@","",""
"urn:cite2:opO112.2017a:85v2","urn:cts:greekLit:tlg0012.tlg001:10.38@","",""
"urn:cite2:opO112.2017a:85v2","urn:cts:greekLit:tlg0012.tlg001:10.38@","",""
"urn:cite2:opO112.2017a:85v2","urn:cts:greekLit:tlg0012.tlg001:10.38@","",""
"urn:cite2:opO112.2017a:85v2","urn:cts:greekLit:tlg0012.tlg001:10.38@","",""
"urn:cite2:opO112.2017a:85v2","urn:cts:greekLit:tlg0012.tlg001:10.38@","",""
"urn:cite2:opO112.2017a:85v2","urn:cts:greekLit:tlg0012.tlg001:10.38@","",""
"urn:cite2:opO112.2017a:85v2","urn:cts:greekLit:tlg0012.tlg001:10.38@","",""
"urn:cite2:opO112.2017a:85v2","urn:cts:greekLit:tlg0012.tlg001:10.38@","",""
"urn:cite2:opO112.2017a:85v2","urn:cts:greekLit:tlg0012.tlg001:10.38@","",""
"urn:cite2:opO112.2017a:85v2","urn:cts:greekLit:tlg0012.tlg001:10.38@","",""
"urn:cite2:opO112.2017a:85v2","urn:cts:greekLit:tlg0012.tlg001:10.38@","",""
"urn:cite2:opO112.2017a:85v2","urn:cts:greekLit:tlg0012.tlg001:10.38@","",""
"urn:cite2:opO112.2017a:85v2","urn:cts:greekLit:tlg0012.tlg001:10.38@","",""
"urn:cite2:opO112.2017a:85v2","urn:cts:greekLit:tlg0012.tlg001:10.38@","",""
"urn:cite2:opO112.2017a:85v2","urn:cts:greekLit:tlg0012.tlg001:10.38@","",""
"urn:cite2:opO112.2017a:85v2","urn:cts:greekLit:tlg0012.tlg001:10.38@","",""
"urn:cite2:opO112.2017a:85v2","urn:cts:greekLit:tlg0012.tlg001:10.38@","",""
