“Observation”,”TextUrn”,”Image”,”Comments”
"urn:cite2:opO112.2017a:85r1","urn:cts:greekLit:tlg0012.tlg001.msE4:10.1@λ","urn:cite2:hmt:e4img.2017a:e4_466@0.05878,0.2072,0.008929,0.008102",""
"urn:cite2:opO112.2017a:85r2","urn:cts:greekLit:tlg0012.tlg001.msE4:10.1@λ[2]","urn:cite2:hmt:e4img.2017a:e4_466@0.06250,0.2042,0.01364,0.009094",""
"urn:cite2:opO112.2017a:85r3","urn:cts:greekLit:tlg0012.tlg001.msE4:10.1@ο","urn:cite2:hmt:e4img.2017a:e4_466@0.07019,0.2054,0.008185,0.006448",""
"urn:cite2:opO112.2017a:85r4","urn:cts:greekLit:tlg0012.tlg001.msE4:10.1@ι","urn:cite2:hmt:e4img.2017a:e4_466@0.07564,0.2027,0.006696,0.008433",""
"urn:cite2:opO112.2017a:85r5","urn:cts:greekLit:tlg0012.tlg001.msE4:10.1@ν","urn:cite2:hmt:e4img.2017a:e4_466@0.08160,0.2025,0.01190,0.009094",""
"urn:cite2:opO112.2017a:85r6","urn:cts:greekLit:tlg0012.tlg001.msE4:10.1@π","urn:cite2:hmt:e4img.2017a:e4_466@0.09251,0.1994,0.01711,0.008929",""
"urn:cite2:opO112.2017a:85r6","urn:cts:greekLit:tlg0012.tlg001.msE4:10.1@α","urn:cite2:hmt:e4img.2017a:e4_466@0.1059,0.1966,0.008929,0.01009",""
"urn:cite2:opO112.2017a:85r6","urn:cts:greekLit:tlg0012.tlg001.msE4:10.1@ρ","urn:cite2:hmt:e4img.2017a:e4_466@0.1126,0.1974,0.01091,0.01538",""
"urn:cite2:opO112.2017a:85r6","urn:cts:greekLit:tlg0012.tlg001.msE4:10.1@α[2]","urn:cite2:hmt:e4img.2017a:e4_466@0.1215,0.1958,0.01786,0.009094",""
"urn:cite2:opO112.2017a:85r6","urn:cts:greekLit:tlg0012.tlg001.msE4:10.1@ν[2]","urn:cite2:hmt:e4img.2017a:e4_466@0.1384,0.1943,0.01042,0.01058",""
"urn:cite2:opO112.2017a:85r6","urn:cts:greekLit:tlg0012.tlg001.msE4:10.1@η","urn:cite2:hmt:e4img.2017a:e4_466@0.1486,0.1943,0.009425,0.007771",""
"urn:cite2:opO112.2017a:85r6","urn:cts:greekLit:tlg0012.tlg001.msE4:10.1@ω","urn:cite2:hmt:e4img.2017a:e4_466@0.1570,0.1930,0.01984,0.008267",""
"urn:cite2:opO112.2017a:85r6","urn:cts:greekLit:tlg0012.tlg001.msE4:10.1@ι[2]","urn:cite2:hmt:e4img.2017a:e4_466@0.1721,0.1913,0.008681,0.01108",""
"urn:cite2:opO112.2017a:85r6","urn:cts:greekLit:tlg0012.tlg001.msE4:10.1@ν[3]","urn:cite2:hmt:e4img.2017a:e4_466@0.1788,0.1906,0.01190,0.01240",""
"urn:cite2:opO112.2017a:85r6","urn:cts:greekLit:tlg0012.tlg001.msE4:10.1@α[3]","urn:cite2:hmt:e4img.2017a:e4_466@0.1880,0.1903,0.01711,0.007771",""
"urn:cite2:opO112.2017a:85r6","urn:cts:greekLit:tlg0012.tlg001.msE4:10.1@ρ[2]","urn:cite2:hmt:e4img.2017a:e4_466@0.2019,0.1908,0.01265,0.01389",""
