"Folio","Image","IliadLine","ImageROI"
"urn:cite2:hmt:e4.v1:85r","urn:cite2:hmt:e4img.2017a:e4_466","urn:cts:greekLit:tlg0012.tlg001:10.1","urn:cite2:hmt:e4img.2017a:e4_466@0.05184,0.1817,0.2879,0.03390"
"urn:cite2:hmt:e4.v1:85r","urn:cite2:hmt:e4img.2017a:e4_466","urn:cts:greekLit:tlg0012.tlg001:10.2","urn:cite2:hmt:e4img.2017a:e4_466@0.05556,0.1987,0.2879,0.03390"
"urn:cite2:hmt:e4.v1:85r","urn:cite2:hmt:e4img.2017a:e4_466","urn:cts:greekLit:tlg0012.tlg001:10.3","urn:cite2:hmt:e4img.2017a:e4_466@0.05407,0.2149,0.2879,0.03390"
"urn:cite2:hmt:e4.v1:85r","urn:cite2:hmt:e4img.2017a:e4_466","urn:cts:greekLit:tlg0012.tlg001:10.4","urn:cite2:hmt:e4img.2017a:e4_466@0.05580,0.2335,0.2991,0.03505"
"urn:cite2:hmt:e4.v1:85r","urn:cite2:hmt:e4img.2017a:e4_466","urn:cts:greekLit:tlg0012.tlg001:10.5","urn:cite2:hmt:e4img.2017a:e4_466@0.05630,0.2521,0.2944,0.03323"
"urn:cite2:hmt:e4.v1:85r","urn:cite2:hmt:e4img.2017a:e4_466","urn:cts:greekLit:tlg0012.tlg001:10.6","urn:cite2:hmt:e4img.2017a:e4_466@0.05729,0.2675,0.2944,0.03323"
"urn:cite2:hmt:e4.v1:85r","urn:cite2:hmt:e4img.2017a:e4_466","urn:cts:greekLit:tlg0012.tlg001:10.7","urn:cite2:hmt:e4img.2017a:e4_466@0.05556,0.2869,0.2944,0.03323"
"urn:cite2:hmt:e4.v1:85r","urn:cite2:hmt:e4img.2017a:e4_466","urn:cts:greekLit:tlg0012.tlg001:10.8","urn:cite2:hmt:e4img.2017a:e4_466@0.05828,0.3021,0.3018,0.04167"
"urn:cite2:hmt:e4.v1:85r","urn:cite2:hmt:e4img.2017a:e4_466","urn:cts:greekLit:tlg0012.tlg001:10.9","urn:cite2:hmt:e4img.2017a:e4_466@0.05680,0.3223,0.3058,0.03274"
"urn:cite2:hmt:e4.v1:85r","urn:cite2:hmt:e4img.2017a:e4_466","urn:cts:greekLit:tlg0012.tlg001:10.10","urn:cite2:hmt:e4img.2017a:e4_466@0.05060,0.3386,0.3075,0.03886"
"urn:cite2:hmt:e4.v1:85r","urn:cite2:hmt:e4img.2017a:e4_466","urn:cts:greekLit:tlg0012.tlg001:10.11","urn:cite2:hmt:e4img.2017a:e4_466@0.06225,0.3575,0.2956,0.03274"
"urn:cite2:hmt:e4.v1:85r","urn:cite2:hmt:e4img.2017a:e4_466","urn:cts:greekLit:tlg0012.tlg001:10.12","urn:cite2:hmt:e4img.2017a:e4_466@0.05779,0.3776,0.2956,0.03274"
"urn:cite2:hmt:e4.v1:85r","urn:cite2:hmt:e4img.2017a:e4_466","urn:cts:greekLit:tlg0012.tlg001:10.13","urn:cite2:hmt:e4img.2017a:e4_466@0.05779,0.3917,0.2956,0.03274"
"urn:cite2:hmt:e4.v1:85r","urn:cite2:hmt:e4img.2017a:e4_466","urn:cts:greekLit:tlg0012.tlg001:10.14","urn:cite2:hmt:e4img.2017a:e4_466@0.05779,0.4089,0.2956,0.03274"
"urn:cite2:hmt:e4.v1:85r","urn:cite2:hmt:e4img.2017a:e4_466","urn:cts:greekLit:tlg0012.tlg001:10.15","urn:cite2:hmt:e4img.2017a:e4_466@0.06300,0.4286,0.2956,0.03274"
"urn:cite2:hmt:e4.v1:85r","urn:cite2:hmt:e4img.2017a:e4_466","urn:cts:greekLit:tlg0012.tlg001:10.16","urn:cite2:hmt:e4img.2017a:e4_466@0.06523,0.4482,0.2956,0.03274"
"urn:cite2:hmt:e4.v1:85r","urn:cite2:hmt:e4img.2017a:e4_466","urn:cts:greekLit:tlg0012.tlg001:10.17","urn:cite2:hmt:e4img.2017a:e4_466@0.06597,0.4714,0.2956,0.02679"
"urn:cite2:hmt:e4.v1:85r","urn:cite2:hmt:e4img.2017a:e4_466","urn:cts:greekLit:tlg0012.tlg001:10.18","urn:cite2:hmt:e4img.2017a:e4_466@0.06448,0.4864,0.2956,0.02679"
"urn:cite2:hmt:e4.v1:85r","urn:cite2:hmt:e4img.2017a:e4_466","urn:cts:greekLit:tlg0012.tlg001:10.19","urn:cite2:hmt:e4img.2017a:e4_466@0.06275,0.5064,0.2956,0.02679"
"urn:cite2:hmt:e4.v1:85r","urn:cite2:hmt:e4img.2017a:e4_466","urn:cts:greekLit:tlg0012.tlg001:10.20","urn:cite2:hmt:e4img.2017a:e4_466@0.06275,0.5215,0.2956,0.02679"
"urn:cite2:hmt:e4.v1:85r","urn:cite2:hmt:e4img.2017a:e4_466","urn:cts:greekLit:tlg0012.tlg001:10.21","urn:cite2:hmt:e4img.2017a:e4_466@0.06176,0.5375,0.2956,0.02679"
"urn:cite2:hmt:e4.v1:85r","urn:cite2:hmt:e4img.2017a:e4_466","urn:cts:greekLit:tlg0012.tlg001:10.22","urn:cite2:hmt:e4img.2017a:e4_466@0.06300,0.5551,0.3068,0.03356"
"urn:cite2:hmt:e4.v1:85r","urn:cite2:hmt:e4img.2017a:e4_466","urn:cts:greekLit:tlg0012.tlg001:10.23","urn:cite2:hmt:e4img.2017a:e4_466@0.05729,0.5734,0.3068,0.03356"
"urn:cite2:hmt:e4.v1:85r","urn:cite2:hmt:e4img.2017a:e4_466","urn:cts:greekLit:tlg0012.tlg001:10.24","urn:cite2:hmt:e4img.2017a:e4_466@0.05729,0.5913,0.3068,0.03356"
"urn:cite2:hmt:e4.v1:85r","urn:cite2:hmt:e4img.2017a:e4_466","urn:cts:greekLit:tlg0012.tlg001:10.25","urn:cite2:hmt:e4img.2017a:e4_466@0.05432,0.6108,0.3068,0.03356"
"urn:cite2:hmt:e4.v1:85r","urn:cite2:hmt:e4img.2017a:e4_466","urn:cts:greekLit:tlg0012.tlg001:10.26","urn:cite2:hmt:e4img.2017a:e4_466@0.05729,0.6311,0.3078,0.03175"
"urn:cite2:hmt:e4.v1:85r","urn:cite2:hmt:e4img.2017a:e4_466","urn:cts:greekLit:tlg0012.tlg001:10.27","urn:cite2:hmt:e4img.2017a:e4_466@0.05580,0.6485,0.3016,0.02976"
"urn:cite2:hmt:e4.v1:85r","urn:cite2:hmt:e4img.2017a:e4_466","urn:cts:greekLit:tlg0012.tlg001:10.28","urn:cite2:hmt:e4img.2017a:e4_466@0.05357,0.6695,0.3147,0.02943"
"urn:cite2:hmt:e4.v1:85r","urn:cite2:hmt:e4img.2017a:e4_466","urn:cts:greekLit:tlg0012.tlg001:10.29","urn:cite2:hmt:e4img.2017a:e4_466@0.05084,0.6877,0.3147,0.02943"
"urn:cite2:hmt:e4.v1:85r","urn:cite2:hmt:e4img.2017a:e4_466","urn:cts:greekLit:tlg0012.tlg001:10.30","urn:cite2:hmt:e4img.2017a:e4_466@0.05159,0.7073,0.3147,0.02943"
"urn:cite2:hmt:e4.v1:85r","urn:cite2:hmt:e4img.2017a:e4_466","urn:cts:greekLit:tlg0012.tlg001:10.31","urn:cite2:hmt:e4img.2017a:e4_466@0.05357,0.7214,0.3065,0.03340"
"urn:cite2:hmt:e4.v1:85r","urn:cite2:hmt:e4img.2017a:e4_466","urn:cts:greekLit:tlg0012.tlg001:10.32","urn:cite2:hmt:e4img.2017a:e4_466@0.05258,0.7381,0.3105,0.03522"
"urn:cite2:hmt:e4.v1:85r","urn:cite2:hmt:e4img.2017a:e4_466","urn:cts:greekLit:tlg0012.tlg001:10.33","urn:cite2:hmt:e4img.2017a:e4_466@0.05258,0.7626,0.2944,0.02662"
"urn:cite2:hmt:e4.v1:85r","urn:cite2:hmt:e4img.2017a:e4_466","urn:cts:greekLit:tlg0012.tlg001:10.34","urn:cite2:hmt:e4img.2017a:e4_466@0.05159,0.7783,0.3011,0.03075"
"urn:cite2:hmt:e4.v1:85r","urn:cite2:hmt:e4img.2017a:e4_466","urn:cts:greekLit:tlg0012.tlg001:10.35","urn:cite2:hmt:e4img.2017a:e4_466@0.05208,0.7955,0.3011,0.03075"
"urn:cite2:hmt:e4.v1:85r","urn:cite2:hmt:e4img.2017a:e4_466","urn:cts:greekLit:tlg0012.tlg001:10.36","urn:cite2:hmt:e4img.2017a:e4_466@0.04737,0.8113,0.3075,0.03770"
"urn:cite2:hmt:e4.v1:85r","urn:cite2:hmt:e4img.2017a:e4_466","urn:cts:greekLit:tlg0012.tlg001:10.37","urn:cite2:hmt:e4img.2017a:e4_466@0.04936,0.8347,0.3043,0.03307"
